track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts, streams ,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147," $141,381,703.00 ",43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4
S91,Karol G,1,2023,7,14,525,41," $16,011,326.00 ",34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19
Overdrive,Post Malone,1,2023,7,14,410,36," $14,780,425.00 ",36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104," $30,546,883.00 ",80,227,95,24,1173,78,,Major,44,14,9,96,0,10,3
Rush,Troye Sivan,1,2023,7,13,864,78," $22,581,161.00 ",71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31," $11,599,388.00 ",17,29,26,3,208,97,,Major,79,92,89,5,0,6,5
Super Shy,NewJeans,1,2023,7,7,422,55," $58,255,150.00 ",37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7
Columbia,Quevedo,1,2023,7,7,714,43," $58,149,378.00 ",25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38," $52,135,248.00 ",73,119,42,1,150,123,F#,Major,69,82,76,6,0,6,3
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24," $39,578,178.00 ",32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17," $39,228,929.00 ",16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15," $36,912,123.00 ",21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11," $30,343,206.00 ",3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8
New Jeans,NewJeans,1,2023,7,7,77,35," $29,562,220.00 ",8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5
vampire,Olivia Rodrigo,1,2023,6,30,1397,113," $140,003,974.00 ",94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6
